submission_date,state - 2,tot_cases,new_case,tot_death,conf_death,new_death,State
12/13/2020,ID,121179,547,1175,1058,6,IDAHO
8/29/2020,IN,92434,1121,3267,3056,8,INDIANA
4/16/2021,MI,902392,5281,18156,17052,78,MICHIGAN
4/15/2022,WA,1474226,1284,12619,,17,WASHINGTON
2/20/2021,DE,85654,334,1366,1235,23,DELAWARE
10/11/2021,ND,138902,951,1652,,10,NORTH DAKOTA
5/21/2020,NC,20993,814,766,766,15,NORTH CAROLINA
11/18/2021,NH,149827,1109,1656,,8,NEW HAMPSHIRE
8/7/2021,VT,23726,89,254,,2,VERMONT
11/25/2021,CA,5041193,4195,73365,,0,CALIFORNIA
10/19/2021,WA,701931,1604,8322,,22,WASHINGTON
2/16/2022,ME,224397,589,1883,1717,25,MAINE
3/17/2022,WA,1443997,1049,12301,,28,WASHINGTON
1/2/2022,CT,510188,0,9160,7496,0,CONNECTICUT
6/11/2021,IN,748654,395,13700,13281,4,INDIANA
1/29/2021,DE,77837,445,1078,971,3,DELAWARE
1/9/2021,MO,481017,1743,7259,,45,MISSOURI
12/30/2020,ID,139864,1340,1403,1240,10,IDAHO
8/8/2021,GU,8725,20,143,,0,GUAM
5/1/2021,NC,961986,1715,13121,11589,11,NORTH CAROLINA
3/13/2021,MO,558720,362,8673,,5,MISSOURI
11/29/2021,MD,584899,762,11215,10984,12,MARYLAND
4/26/2020,WI,5911,224,272,272,6,WISCONSIN
3/11/2021,GU,7767,9,133,,0,GUAM
5/21/2021,AL,541413,251,11352,9069,6,ALABAMA
1/26/2020,CA,0,0,0,,0,CALIFORNIA
9/11/2020,NH,7620,47,434,,0,NEW HAMPSHIRE
8/3/2021,DE,110902,80,1833,1676,0,DELAWARE
12/22/2021,NC,1603431,5269,19513,17175,31,NORTH CAROLINA
2/28/2022,WI,1571997,1537,13297,11921,41,WISCONSIN
5/6/2021,IL,1348176,1778,24483,22136,40,ILLINOIS
6/11/2020,ND,2980,39,74,,1,NORTH DAKOTA
2/10/2021,MS,286654,822,6838,4789,12,MISSISSIPPI
3/29/2020,MD,1239,247,19,19,8,MARYLAND
12/4/2020,WA,178329,1769,2925,,25,WASHINGTON
5/25/2021,MD,458680,160,9625,9411,11,MARYLAND
1/4/2021,DE,60893,900,937,834,7,DELAWARE
10/10/2020,GU,2989,0,58,,0,GUAM
4/14/2021,CT,327298,1609,7984,6568,10,CONNECTICUT
7/2/2020,NE,19412,174,282,,6,NEBRASKA
2/10/2020,NE,0,0,0,,0,NEBRASKA
9/11/2021,NC,1294095,8129,15866,13948,82,NORTH CAROLINA
5/31/2020,VI,69,0,6,,0,VIRGIN ISLANDS
12/7/2020,ME,16724,313,239,237,12,MAINE
1/30/2022,NV,648088,0,8914,,0,NEVADA
8/30/2021,MT,126338,242,1787,1787,2,MONTANA
12/3/2021,CA,5084927,7612,74046,,127,CALIFORNIA
10/2/2020,MT,14283,459,186,186,3,MONTANA
8/23/2020,ID,29853,191,307,278,1,IDAHO
10/12/2021,CT,395481,372,8667,7086,0,CONNECTICUT
10/8/2020,IN,129677,1450,3740,3523,16,INDIANA
10/3/2021,WA,666457,1984,7793,,14,WASHINGTON
6/25/2020,VI,81,1,6,,0,VIRGIN ISLANDS
2/8/2022,WI,1545059,2308,12739,11450,70,WISCONSIN
9/11/2021,CA,4538638,13463,66625,66625,203,CALIFORNIA
12/31/2021,ND,174626,451,2012,,0,NORTH DAKOTA
8/16/2020,IL,207413,1562,7955,7744,18,ILLINOIS
7/13/2020,MT,1843,2,32,32,1,MONTANA
10/10/2021,CA,4749201,0,69507,69507,0,CALIFORNIA
1/26/2021,WI,584041,1564,6264,5753,65,WISCONSIN
10/4/2021,AL,798499,1539,15490,12044,32,ALABAMA
8/7/2020,AL,98643,1847,2605,2345,48,ALABAMA
9/22/2021,ND,127912,629,1595,,0,NORTH DAKOTA
7/3/2020,DE,11946,158,512,455,2,DELAWARE
1/28/2022,MS,717666,5533,10831,7254,25,MISSISSIPPI
9/15/2021,AL,757957,3934,14462,11292,73,ALABAMA
12/8/2020,CA,1389707,23272,20087,20087,59,CALIFORNIA
12/1/2020,VT,4105,68,76,,4,VERMONT
6/17/2021,VI,3752,5,30,,0,VIRGIN ISLANDS
